Gene,highly_variable
AL627309.1,True
RP11-206L10.2,False
LINC00115,True
NOC2L,False
RP11-54O7.17,False
HES4,True
C1orf159,False
SDF4,False
UBE2J2,False
ACAP3,False
CPSF3L,False
DVL1,False
MXRA8,False
AURKAIP1,False
CCNL2,False
MRPL20,False
SSU72,False
C1orf233,False
RP11-345P4.9,False
CDK11B,True
SLC35E2B,False
CDK11A,False
SLC35E2,False
NADK,False
GNB1,False
TMEM52,False
RP11-547D24.1,False
RP5-892K4.1,False
RP11-181G12.2,False
C1orf86,False
MORN1,False
PEX10,False
PANK4,True
HES5,True
MMEL1,False
LINC00982,True
MEGF6,False
RP11-46F15.2,False
WRAP73,False
TP73-AS1,False
LRRC47,False
CEP104,False
C1orf174,False
NPHP4,True
CHD5,False
RPL22,False
ICMT,False
GPR153,False
ACOT7,False
TNFRSF25,False
PLEKHG5,False
NOL9,False
KLHL21,False
DNAJC11,False
RP11-338N10.2,True
RP11-338N10.3,False
RERE,False
ENO1,True
SLC2A5,True
GPR157,False
RP11-558F24.4,False
CLSTN1,False
CTNNBIP1,False
LZIC,False
DFFA,False
SRM,False
EXOSC10,False
MTOR,False
FBXO2,False
MAD2L2,False
MTHFR,False
NPPA,True
KIAA2013,False
DHRS3,True
CASP9,False
AGMAT,False
RP11-169K16.9,False
ZBTB17,False
FAM131C,False
EPHA2,False
ARHGEF19,False
C1orf134,True
FBXO42,False
NBPF1,False
CROCCP2,False
RP11-108M9.4,False
RP11-108M9.6,True
MFAP2,False
ATP13A2,False
SDHB,False
RCC2,False
ALDH4A1,False
UBR4,False
EMC1,False
AKR7A3,True
AKR7A2,False
CAPZB,False
TMCO4,False
UBXN10-AS1,False
CAMK2N1,False
MUL1,False
PINK1-AS,False
DDOST,False
HP1BP3,False
EIF4G3,False
ECE1,True
RAP1GAP,False
USP48,False
HSPG2,False
LUZP1,False
RP5-1057J7.6,False
HNRNPR,False
ZNF436,False
TCEA3,False
ASAP3,True
E2F2,False
ID3,False
RP5-886K2.3,False
GALE,False
HMGCL,False
FUCA1,False
SRSF10,False
STPG1,False
RP4-594I10.3,False
SYF2,False
C1orf63,False
AUNIP,False
PAQR7,True
STMN1,True
PAFAH2,False
UBXN11,False
RP5-968P14.2,False
GPN2,False
GPATCH3,False
SLC9A1,False
WASF2,False
AHDC1,True
IFI6,True
RPA2,False
EYA3,False
DNAJC8,False
RP5-1092A3.4,False
SNHG12,False
TAF12,False
SRSF4,False
MECR,False
LAPTM5,False
SDC3,True
PUM1,False
NKAIN1,False
SNRNP40,False
FABP3,False
PEF1,False
COL16A1,False
BAI2,False
PTP4A2,False
TMEM234,False
MARCKSL1,False
FAM229A,False
BSDC1,False
ZBTB8OS,False
SYNC,False
YARS,False
FNDC5,False
TMEM54,False
RNF19B,False
AK2,False
TRIM62,False
PHC2,False
CSMD2,False
DLGAP3,False
ZMYM6,False
SFPQ,False
KIAA0319L,True
RP4-728D4.2,False
PSMB2,False
C1orf216,False
CLSPN,True
TRAPPC3,False
STK40,False
LSM10,False
OSCP1,True
MRPS15,False
GRIK3,True
LINC01137,False
MEAF6,False
SNIP1,False
GNL2,False
RSPO1,True
C1orf109,False
EPHA10,False
YRDC,False
MTF1,False
INPP5B,False
SF3A3,False
FHL3,False
POU3F1,True
RRAGC,False
MYCBP,False
RHBDL2,True
RP11-69E11.4,True
PABPC4,False
HPCAL4,False
TRIT1,True
MYCL,True
PPT1,False
RP1-39G22.7,False
COL9A2,True
RP11-656D10.3,False
RIMS3,False
NFYC-AS1,True
CITED4,True
SCMH1,True
EDN2,False
HIVEP3,True
FOXJ3,False
ZMYND12,True
CLDN19,False
LEPRE1,False
CCDC23,False
SLC2A1,False
EBNA1BP2,False
ELOVL1,False
MED8,False
HYI,False
KDM4A-AS1,False
RP11-7O11.3,True
ERI3,False
TMEM53,False
BEST4,False
EIF2B3,False
HECTD3,False
ZSWIM5,False
MUTYH,False
TESK2,False
CCDC163P,False
PRDX1,True
GPBP1L1,True
IPP,False
PIK3R3,True
POMGNT1,False
LRRC41,False
KNCN,False
MKNK1,True
ATPAF1,False
EFCAB14,False
TAL1,False
STIL,False
SPATA6,False
AGBL4,False
BEND5,False
DMRTA2,True
RP5-850O15.4,False
FAF1,False
EPS15,False
NRD1,False
RAB3B,True
TXNDC12,False
CC2D1B,False
ORC1,False
ZCCHC11,False
COA7,False
ECHDC2,True
C1orf123,False
MAGOH,False
RP5-1024G6.8,False
LRP8,True
NDC1,False
YIPF1,False
HSPB11,False
RP4-758J24.5,False
TMEM59,False
CYB5RL,False
SSBP3,False
PARS2,False
DHCR24,False
USP24,False
RP11-504A18.1,False
PPAP2B,True
DAB1,True
OMA1,True
MYSM1,False
JUN,True
RP11-467C18.1,False
CYP2J2,False
RP11-776H12.1,False
RP11-436K8.1,False
TM2D1,False
RP11-430G17.3,False
KANK4,True
DOCK7,False
RP4-792G4.2,True
ITGB3BP,False
JAK1,True
WDR78,False
SLC35D1,False
SERBP1,False
GNG12,True
DIRAS3,True
WLS,False
RPE65,False
DEPDC1,False
LRRC40,False
